match_id,team,action_type,hero,lane,is_winner
M001,navi,ban,zhuxin,first,0
M001,navi,ban,fanny,first,0
M001,navi,ban,luo yi,first,0
M001,navi,ban,yve,second,0
M001,navi,ban,chip,second,0
M001,rrq,ban,mathilda,first,1
M001,rrq,ban,phoveus,first,1
M001,rrq,ban,harith,first,1
M001,rrq,ban,hylos,second,1
M001,rrq,ban,valentina,second,1
M001,navi,pick,badang,exp,0
M001,navi,pick,suyou,jungler,0
M001,navi,pick,vexana,mid,0
M001,navi,pick,moskov,gold,0
M001,navi,pick,chou,roam,0
M001,rrq,pick,cici,exp,1
M001,rrq,pick,joy,jungler,1
M001,rrq,pick,pharsa,mid,1
M001,rrq,pick,granger,gold,1
M001,rrq,pick,gatotkaca,roam,1
M002,navi,ban,fanny,first,0
M002,navi,ban,zhuxin,first,0
M002,navi,ban,joy,first,0
M002,navi,ban,pharsa,second,0
M002,navi,ban,hylos,second,0
M002,rrq,ban,phoveus,first,1
M002,rrq,ban,mathilda,first,1
M002,rrq,ban,harith,first,1
M002,rrq,ban,hanzo,second,1
M002,rrq,ban,nolan,second,1
M002,navi,pick,badang,exp,0
M002,navi,pick,hayabusa,jungler,0
M002,navi,pick,luo yi,mid,0
M002,navi,pick,granger,gold,0
M002,navi,pick,gatotkaca,roam,0
M002,rrq,pick,cici,exp,1
M002,rrq,pick,suyou,jungler,1
M002,rrq,pick,yve,mid,1
M002,rrq,pick,irithel,gold,1
M002,rrq,pick,tigreal,roam,1
M003,evos,ban,mathilda,first,1
M003,evos,ban,harith,first,1
M003,evos,ban,yve,first,1
M003,evos,ban,nolan,second,1
M003,evos,ban,lukas,second,1
M003,liquid,ban,fanny,first,0
M003,liquid,ban,joy,first,0
M003,liquid,ban,zhuxin,first,0
M003,liquid,ban,badang,second,0
M003,liquid,ban,phoveus,second,0
M003,evos,pick,edith,exp,1
M003,evos,pick,suyou,jungler,1
M003,evos,pick,luo yi,mid,1
M003,evos,pick,granger,gold,1
M003,evos,pick,jawhead,roam,1
M003,liquid,pick,cici,exp,0
M003,liquid,pick,ling,jungler,0
M003,liquid,pick,selena,mid,0
M003,liquid,pick,bruno,gold,0
M003,liquid,pick,gatotkaca,roam,0
M004,evos,ban,fanny,first,0
M004,evos,ban,zhuxin,first,0
M004,evos,ban,yve,first,0
M004,evos,ban,hanzo,second,0
M004,evos,ban,lukas,second,0
M004,liquid,ban,mathilda,first,1
M004,liquid,ban,phoveus,first,1
M004,liquid,ban,luo yi,first,1
M004,liquid,ban,valentina,second,1
M004,liquid,ban,jawhead,second,1
M004,evos,pick,cici,exp,0
M004,evos,pick,suyou,jungler,0
M004,evos,pick,vexana,mid,0
M004,evos,pick,granger,gold,0
M004,evos,pick,gatotkaca,roam,0
M004,liquid,pick,badang,exp,1
M004,liquid,pick,joy,jungler,1
M004,liquid,pick,selena,mid,1
M004,liquid,pick,harith,gold,1
M004,liquid,pick,khaleed,roam,1
M005,evos,ban,fanny,first,1
M005,evos,ban,zhuxin,first,1
M005,evos,ban,harith,first,1
M005,evos,ban,valentina,second,1
M005,evos,ban,badang,second,1
M005,liquid,ban,mathilda,first,0
M005,liquid,ban,phoveus,first,0
M005,liquid,ban,luo yi,first,0
M005,liquid,ban,suyou,second,0
M005,liquid,ban,hayabusa,second,0
M005,evos,pick,edith,exp,1
M005,evos,pick,lukas,jungler,1
M005,evos,pick,vexana,mid,1
M005,evos,pick,granger,gold,1
M005,evos,pick,gatotkaca,roam,1
M005,liquid,pick,cici,exp,0
